variable,year,region,value,clim,anomaly
tmean,2000,Caribe,25.527572070472974,26.52694804895896,-0.9993759784859861
tmean,2000,Andina,18.70866321897514,19.713509673021505,-1.0048464540463655
tmean,2000,Pacifica,20.64000992573243,21.476950913968096,-0.8369409882356678
tmean,2000,Orinoquia,26.54497232950168,26.296113187300026,0.24885914220165262
tmean,2000,Amazonia,24.61850357142868,25.033584825984235,-0.415081254555556
tmean,2000,Colombia,23.5664939253035,24.05807393986415,-0.49158001456065037
tmean,2001,Caribe,25.525789717157515,26.52694804895896,-1.0011583318014452
tmean,2001,Andina,19.17528816013315,19.713509673021505,-0.5382215128883558
tmean,2001,Pacifica,21.031459843481972,21.476950913968096,-0.44549107048612413
tmean,2001,Orinoquia,26.023316034265832,26.296113187300026,-0.27279715303419394
tmean,2001,Amazonia,24.699226658366744,25.033584825984235,-0.3343581676174914
tmean,2001,Colombia,23.610442146544266,24.05807393986415,-0.4476317933198857
tmean,2002,Caribe,26.92268517775235,26.52694804895896,0.39573712879338885
tmean,2002,Andina,20.03581761341536,19.713509673021505,0.3223079403938556
tmean,2002,Pacifica,21.739078206926415,21.476950913968096,0.2621272929583185
tmean,2002,Orinoquia,26.024831930938657,26.296113187300026,-0.27128125636136957
tmean,2002,Amazonia,24.83497659857969,25.033584825984235,-0.1986082274045451
tmean,2002,Colombia,24.062356635689262,24.05807393986415,0.004282695825111205
tmean,2003,Caribe,27.18090464940772,26.52694804895896,0.6539566004487583
tmean,2003,Andina,20.193045607969893,19.713509673021505,0.4795359349483874
tmean,2003,Pacifica,21.77134649263152,21.476950913968096,0.2943955786634227
tmean,2003,Orinoquia,26.584778067731232,26.296113187300026,0.288664880431206
tmean,2003,Amazonia,24.861958795232777,25.033584825984235,-0.1716260307514581
tmean,2003,Colombia,24.262717234894538,24.05807393986415,0.2046432950303867
tmean,2004,Caribe,27.623106914321202,26.52694804895896,1.0961588653622414
tmean,2004,Andina,20.420674022478437,19.713509673021505,0.7071643494569315
tmean,2004,Pacifica,21.816450622933985,21.476950913968096,0.33949970896588866
tmean,2004,Orinoquia,26.217357749562222,26.296113187300026,-0.07875543773780436
tmean,2004,Amazonia,24.929911499994844,25.033584825984235,-0.10367332598939072
tmean,2004,Colombia,24.30262476055123,24.05807393986415,0.24455082068707767
tmean,2005,Caribe,27.14316969618306,26.52694804895896,0.6162216472241013
tmean,2005,Andina,20.26532185918679,19.713509673021505,0.5518121861652858
tmean,2005,Pacifica,21.29724841110544,21.476950913968096,-0.1797025028626571
tmean,2005,Orinoquia,27.07392798851306,26.296113187300026,0.777814801213033
tmean,2005,Amazonia,25.457968590293962,25.033584825984235,0.42438376430972724
tmean,2005,Colombia,24.543397495766378,24.05807393986415,0.48532355590222664
tmean,2006,Caribe,26.093394762772014,26.52694804895896,-0.433553286186946
tmean,2006,Andina,19.113564046003333,19.713509673021505,-0.5999456270181724
tmean,2006,Pacifica,21.085091321877588,21.476950913968096,-0.39185959209050836
tmean,2006,Orinoquia,25.70841151953486,26.296113187300026,-0.5877016677651667
tmean,2006,Amazonia,24.814850850795015,25.033584825984235,-0.21873397518922033
tmean,2006,Colombia,23.637597265567468,24.05807393986415,-0.42047667429668323
tmean,2007,Caribe,26.601529655548756,26.52694804895896,0.07458160658979551
tmean,2007,Andina,19.77741488994077,19.713509673021505,0.0639052169192631
tmean,2007,Pacifica,21.18661412959625,21.476950913968096,-0.2903367843718456
tmean,2007,Orinoquia,26.742632788850514,26.296113187300026,0.446519601550488
tmean,2007,Amazonia,25.074759686301668,25.033584825984235,0.041174860317433115
tmean,2007,Colombia,24.163417173967005,24.05807393986415,0.10534323410285396
tmean,2008,Caribe,25.81442663313665,26.52694804895896,-0.7125214158223088
tmean,2008,Andina,18.818696327882876,19.713509673021505,-0.8948133451386298
tmean,2008,Pacifica,20.740775533923514,21.476950913968096,-0.7361753800445818
tmean,2008,Orinoquia,26.642610763466227,26.296113187300026,0.34649757616620036
tmean,2008,Amazonia,24.794729764106712,25.033584825984235,-0.2388550618775227
tmean,2008,Colombia,23.716095697480196,24.05807393986415,-0.3419782423839557
tmean,2009,Caribe,25.5781262710759,26.52694804895896,-0.9488217778830617
tmean,2009,Andina,18.951907813465745,19.713509673021505,-0.7616018595557605
tmean,2009,Pacifica,21.05093662753248,21.476950913968096,-0.4260142864356169
tmean,2009,Orinoquia,25.823594481077247,26.296113187300026,-0.4725187062227789
tmean,2009,Amazonia,24.723935602386522,25.033584825984235,-0.3096492235977131
tmean,2009,Colombia,23.53806809489954,24.05807393986415,-0.5200058449646114
tmean,2010,Caribe,26.64353201767588,26.52694804895896,0.11658396871692034
tmean,2010,Andina,20.741826862682156,19.713509673021505,1.028317189660651
tmean,2010,Pacifica,22.10422922536629,21.476950913968096,0.627278311398193
tmean,2010,Orinoquia,26.685845879445292,26.296113187300026,0.38973269214526596
tmean,2010,Amazonia,26.027535307104586,25.033584825984235,0.9939504811203506
tmean,2010,Colombia,24.78230611304949,24.05807393986415,0.7242321731853387
tmean,2011,Caribe,24.95438820874652,26.52694804895896,-1.5725598402124419
tmean,2011,Andina,18.50864219503387,19.713509673021505,-1.2048674779876336
tmean,2011,Pacifica,20.794107799908424,21.476950913968096,-0.682843114059672
tmean,2011,Orinoquia,25.48156741882203,26.296113187300026,-0.8145457684779949
tmean,2011,Amazonia,24.8673401770345,25.033584825984235,-0.16624464894973556
tmean,2011,Colombia,23.325889491266924,24.05807393986415,-0.7321844485972271
tmean,2012,Caribe,26.538025906616618,26.52694804895896,0.01107785765765712
tmean,2012,Andina,19.294899870348047,19.713509673021505,-0.4186098026734584
tmean,2012,Pacifica,21.444425677824118,21.476950913968096,-0.03252523614397873
tmean,2012,Orinoquia,24.987322389901276,26.296113187300026,-1.3087907973987498
tmean,2012,Amazonia,24.03762798244096,25.033584825984235,-0.9959568435432757
tmean,2012,Colombia,23.322910858969088,24.05807393986415,-0.7351630808950631
tmean,2013,Caribe,26.07160409172859,26.52694804895896,-0.4553439572303688
tmean,2013,Andina,19.83983256676823,19.713509673021505,0.12632289374672467
tmean,2013,Pacifica,21.515509574429043,21.476950913968096,0.03855866046094647
tmean,2013,Orinoquia,25.977181120359642,26.296113187300026,-0.3189320669403841
tmean,2013,Amazonia,25.025812300255854,25.033584825984235,-0.007772525728380941
tmean,2013,Colombia,23.96038769239735,24.05807393986415,-0.09768624746680032
tmean,2014,Caribe,26.583144687477134,26.52694804895896,0.05619663851817336
tmean,2014,Andina,19.691264340812236,19.713509673021505,-0.02224533220926972
tmean,2014,Pacifica,21.297164068591666,21.476950913968096,-0.1797868453764302
tmean,2014,Orinoquia,26.64421179041645,26.296113187300026,0.3480986031164228
tmean,2014,Amazonia,24.92290667945712,25.033584825984235,-0.11067814652711405
tmean,2014,Colombia,24.080331222425855,24.05807393986415,0.022257282561703562
tmean,2015,Caribe,26.99488518594334,26.52694804895896,0.46793713698437855
tmean,2015,Andina,19.807364040530384,19.713509673021505,0.09385436750887877
tmean,2015,Pacifica,21.5300773185808,21.476950913968096,0.0531264046127049
tmean,2015,Orinoquia,26.699076203881557,26.296113187300026,0.40296301658153055
tmean,2015,Amazonia,24.822279091748513,25.033584825984235,-0.2113057342357223
tmean,2015,Colombia,24.151757612439,24.05807393986415,0.09368367257484778
tmean,2016,Caribe,28.586049330296692,26.52694804895896,2.059101281337732
tmean,2016,Andina,21.395110708897864,19.713509673021505,1.6816010358763585
tmean,2016,Pacifica,22.533919250434305,21.476950913968096,1.056968336466209
tmean,2016,Orinoquia,27.776979437158047,26.296113187300026,1.4808662498580212
tmean,2016,Amazonia,25.865396729335156,25.033584825984235,0.8318119033509213
tmean,2016,Colombia,25.36698726165357,24.05807393986415,1.3089133217894187
tmean,2017,Caribe,26.591181525783814,26.52694804895896,0.06423347682485314
tmean,2017,Andina,19.483052398766805,19.713509673021505,-0.2304572742547002
tmean,2017,Pacifica,21.598928505802863,21.476950913968096,0.1219775918347672
tmean,2017,Orinoquia,25.692487461248813,26.296113187300026,-0.603625726051213
tmean,2017,Amazonia,24.900292538423187,25.033584825984235,-0.13329228756104783
tmean,2017,Colombia,23.848942225618394,24.05807393986415,-0.20913171424575694
tmean,2018,Caribe,27.294098866889193,26.52694804895896,0.7671508179302329
tmean,2018,Andina,20.2767683232459,19.713509673021505,0.5632586502243946
tmean,2018,Pacifica,21.71138321093117,21.476950913968096,0.23443229696307455
tmean,2018,Orinoquia,27.047546265350853,26.296113187300026,0.7514330780508267
tmean,2018,Amazonia,25.42114011475065,25.033584825984235,0.3875552887664142
tmean,2018,Colombia,24.5888832154584,24.05807393986415,0.5308092755942475
tmean,2019,Caribe,27.442954012687238,26.52694804895896,0.9160059637282778
tmean,2019,Andina,20.4429902763216,19.713509673021505,0.7294806033000931
tmean,2019,Pacifica,22.216723033429354,21.476950913968096,0.7397721194612572
tmean,2019,Orinoquia,27.13087668281075,26.296113187300026,0.8347634955107246
tmean,2019,Amazonia,25.168792780470802,25.033584825984235,0.13520795448656742
tmean,2019,Colombia,24.622937908825214,24.05807393986415,0.5648639689610633
tmean,2020,Caribe,28.130470166774376,26.52694804895896,1.603522117815416
tmean,2020,Andina,21.018339605213896,19.713509673021505,1.3048299321923906
tmean,2020,Pacifica,22.28972981807392,21.476950913968096,0.8127789041058229
tmean,2020,Orinoquia,28.312348422089734,26.296113187300026,2.0162352347897077
tmean,2020,Amazonia,26.18926462057454,25.033584825984235,1.1556797945903057
tmean,2020,Colombia,25.45173960261281,24.05807393986415,1.3936656627486599
tmean,2021,Caribe,27.0291288925919,26.52694804895896,0.5021808436329387
tmean,2021,Andina,19.40790957053646,19.713509673021505,-0.30560010248504454
tmean,2021,Pacifica,21.288754405426317,21.476950913968096,-0.18819650854177894
tmean,2021,Orinoquia,25.996862924268058,26.296113187300026,-0.29925026303196844
tmean,2021,Amazonia,24.617324782124538,25.033584825984235,-0.4162600438596975
tmean,2021,Colombia,23.818598786428932,24.05807393986415,-0.23947515343521886
tmean,2022,Caribe,26.336833514814636,26.52694804895896,-0.19011453414432467
tmean,2022,Andina,19.286858659161343,19.713509673021505,-0.42665101386016246
tmean,2022,Pacifica,21.179390927595637,21.476950913968096,-0.29755998637245895
tmean,2022,Orinoquia,26.130148787091887,26.296113187300026,-0.1659644002081393
tmean,2022,Amazonia,24.705436114063467,25.033584825984235,-0.3281487119207682
tmean,2022,Colombia,23.766420067828545,24.05807393986415,-0.29165387203560655
tmean,2023,Caribe,26.47907112364184,26.52694804895896,-0.0478769253171194
tmean,2023,Andina,19.243145132950065,19.713509673021505,-0.47036454007144
tmean,2023,Pacifica,21.28647362709925,21.476950913968096,-0.1904772868688447
tmean,2023,Orinoquia,26.40770876428365,26.296113187300026,0.11159557698362477
tmean,2023,Amazonia,25.278678666112842,25.033584825984235,0.24509384012860735
tmean,2023,Colombia,24.051995137870485,24.05807393986415,-0.006078801993666616
tmean,2024,Caribe,28.464939735221623,26.52694804895896,1.937991686262663
tmean,2024,Andina,21.53865934161237,19.713509673021505,1.8251496685908641
tmean,2024,Pacifica,22.725171447447845,21.476950913968096,1.2482205334797492
tmean,2024,Orinoquia,28.435846531859124,26.296113187300026,2.1397333445590974
tmean,2024,Amazonia,26.57150873328021,25.033584825984235,1.5379239072959763
tmean,2024,Colombia,25.802570472809393,24.05807393986415,1.7444965329452415
tmean,2025,Caribe,26.85921542809745,26.52694804895896,0.33226737913848936
tmean,2025,Andina,19.625484834169015,19.713509673021505,-0.08802483885249046
tmean,2025,Pacifica,21.604365797485773,21.476950913968096,0.1274148835176767
tmean,2025,Orinoquia,26.740056126868126,26.296113187300026,0.4439429395680996
tmean,2025,Amazonia,25.286574782324372,25.033584825984235,0.2529899563401372
tmean,2025,Colombia,24.28290563868086,24.05807393986415,0.22483169881670761
tmean,2026,Caribe,26.04962805331684,26.52694804895896,-0.47731999564211947
