variable,year,region,value,clim,anomaly,anomaly_pct
precip,1996,Amazonia,236.025146131779,293.5934068392419,-57.56826070746288,-19.60815855070771
precip,1996,Colombia,179.791065958647,198.84288248739327,-19.051816528746258,-9.581341957238099
precip,1997,Caribe,17.00296565261641,48.95335506963615,-31.950389417019743,-65.26700646272417
precip,1997,Andina,90.47411859182984,156.31373844281748,-65.83961985098765,-42.120174788777774
precip,1997,Pacifica,200.85760619222052,283.5813671487462,-82.7237609565257,-29.17108475365196
precip,1997,Orinoquia,38.782845097015944,123.72017423186884,-84.93732913485289,-68.65277200116815
precip,1997,Amazonia,172.37600836202714,293.5934068392419,-121.21739847721474,-41.287507026200956
precip,1997,Colombia,111.38712123772174,198.84288248739327,-87.45576124967153,-43.98234432917973
precip,1998,Caribe,44.038861456668464,48.95335506963615,-4.914493612967689,-10.039135429996211
precip,1998,Andina,136.39830122145906,156.31373844281748,-19.915437221358417,-12.740682565559558
precip,1998,Pacifica,261.37889618867126,283.5813671487462,-22.202470960074947,-7.829312335753408
precip,1998,Orinoquia,135.70509997561172,123.72017423186884,11.984925743742878,9.687123234470603
precip,1998,Amazonia,273.9778820174359,293.5934068392419,-19.61552482180599,-6.681187099186646
precip,1998,Colombia,187.7045173642318,198.84288248739327,-11.138365123161464,-5.601591057134088
precip,1999,Caribe,68.88274974272906,48.95335506963615,19.929394673092908,40.710988337251536
precip,1999,Andina,156.4413468120914,156.31373844281748,0.12760836927392916,0.0816360548632203
precip,1999,Pacifica,343.2324743111334,283.5813671487462,59.65110716238718,21.03491768946108
precip,1999,Orinoquia,107.75596953970746,123.72017423186884,-15.964204692161374,-12.903477376488521
precip,1999,Amazonia,258.73620875240965,293.5934068392419,-34.85719808683223,-11.872609287141932
precip,1999,Colombia,192.15067322206073,198.84288248739327,-6.6922092653325365,-3.365576470033734
precip,2000,Caribe,30.179914630713203,48.95335506963615,-18.77344043892295,-38.3496502174728
precip,2000,Andina,146.97149029512545,156.31373844281748,-9.342248147692032,-5.976600803460153
precip,2000,Pacifica,311.7761943846083,283.5813671487462,28.19482723586208,9.942411773857172
precip,2000,Orinoquia,116.46810343164665,123.72017423186884,-7.252070800222185,-5.8616719910455295
precip,2000,Amazonia,280.3651208454962,293.5934068392419,-13.228285993745658,-4.505648180644893
precip,2000,Colombia,191.74182338038594,198.84288248739327,-7.10105910700733,-3.571190991690407
precip,2001,Caribe,56.49703040657358,48.95335506963615,7.543675336937426,15.409925072973133
precip,2001,Andina,166.02009647209076,156.31373844281748,9.706358029273275,6.209536107297469
precip,2001,Pacifica,270.73555773138236,283.5813671487462,-12.845809417363853,-4.5298495971443264
precip,2001,Orinoquia,119.98039945449656,123.72017423186884,-3.7397747773722756,-3.0227687607062506
precip,2001,Amazonia,302.3273117315557,293.5934068392419,8.73390489231383,2.9748300502865557
precip,2001,Colombia,202.38521059501923,198.84288248739327,3.5423281076259627,1.781470909752351
precip,2002,Caribe,42.35850663086995,48.95335506963615,-6.594848438766206,-13.471698577932061
precip,2002,Andina,166.7737337496952,156.31373844281748,10.459995306877715,6.691667291102618
precip,2002,Pacifica,277.9148616177432,283.5813671487462,-5.666505531002997,-1.9981938827563235
precip,2002,Orinoquia,165.5888097509009,123.72017423186884,41.86863551903207,33.84139715206383
