variable,year,month,region,value,date,clim,anomaly,rolling_12
tmean,2005,6,Caribe,25.488769952856384,2005-06-01,25.729532158062987,-0.24076220520660385,-0.09363717985443613
tmean,2005,7,Caribe,25.77148161810515,2005-07-01,25.83176428399468,-0.06028266588953102,-0.052152275592168174
tmean,2005,8,Caribe,25.48603741161917,2005-08-01,25.78141099631766,-0.29537358469849195,-0.10380455975040033
tmean,2005,9,Caribe,25.480719380811244,2005-09-01,25.324772769158542,0.15594661165270196,-0.052071617560761695
tmean,2005,10,Caribe,24.585432990078353,2005-10-01,24.86399261068323,-0.27855962060487727,-0.05095817371118224
tmean,2005,11,Caribe,24.18492954721629,2005-11-01,24.685702504269383,-0.5007729570530941,-0.07266555896073286
tmean,2005,12,Caribe,24.61072291784675,2005-12-01,25.062471426957135,-0.45174850911038433,-0.10162616570487071
tmean,2006,1,Caribe,25.321197538631726,2006-01-01,25.69052473665928,-0.3693271980275554,-0.11148453989224223
tmean,2006,2,Caribe,26.107940535868224,2006-02-01,26.51460068072299,-0.4066601448547651,-0.13341425387355846
tmean,2006,3,Caribe,26.093394762772014,2006-03-01,26.52694804895896,-0.433553286186946,-0.22089549832447908
tmean,2006,4,Caribe,25.155645867880118,2006-04-01,25.960166046773757,-0.8045201788936396,-0.3120128415272818
tmean,2006,5,Caribe,25.277349311552108,2006-05-01,25.57229132916436,-0.2949420176122537,-0.33171297970712005
tmean,2006,6,Caribe,25.401313124708043,2006-06-01,25.729532158062987,-0.3282190333549444,-0.3390010487194817
tmean,2006,7,Caribe,25.828199386159998,2006-07-01,25.83176428399468,-0.003564897834682057,-0.33427456804824435
tmean,2006,8,Caribe,25.861487992343434,2006-08-01,25.78141099631766,0.0800769960257739,-0.3029870196545555
tmean,2006,9,Caribe,25.542770824379073,2006-09-01,25.324772769158542,0.21799805522053006,-0.29781606602390315
tmean,2006,10,Caribe,25.05750817883028,2006-10-01,24.86399261068323,0.19351556814704907,-0.25847646696124266
tmean,2006,11,Caribe,24.715790270060822,2006-11-01,24.685702504269383,0.030087765791439125,-0.21423807339086487
tmean,2006,12,Caribe,25.163232413434663,2006-12-01,25.062471426957135,0.10076098647752829,-0.16819561542520547
tmean,2007,1,Caribe,26.28805839369863,2007-01-01,25.69052473665928,0.5975336570393495,-0.08762387750296341
tmean,2007,2,Caribe,27.14169866694686,2007-02-01,26.51460068072299,0.6270979862238697,-0.001477366579743844
tmean,2007,3,Caribe,26.601529655548756,2007-03-01,26.52694804895896,0.07458160658979551,0.04086720781831795
tmean,2007,4,Caribe,25.339993637432922,2007-04-01,25.960166046773757,-0.6201724093408352,0.05622952194771832
tmean,2007,5,Caribe,25.016885120856376,2007-05-01,25.57229132916436,-0.5554062083079856,0.03452417272307399
tmean,2007,6,Caribe,25.60911093224652,2007-06-01,25.729532158062987,-0.12042122581646808,0.051840656684613684
tmean,2007,7,Caribe,25.55503179436557,2007-07-01,25.83176428399468,-0.27673248962911146,0.029076690701744567
tmean,2007,8,Caribe,24.864740082967547,2007-08-01,25.78141099631766,-0.9166709133501136,-0.053985635079579396
tmean,2007,9,Caribe,25.032438721739087,2007-09-01,25.324772769158542,-0.29233404741945535,-0.09651331029957817
tmean,2007,10,Caribe,24.176396591240692,2007-10-01,24.86399261068323,-0.6875960194425375,-0.16993927593204372
tmean,2007,11,Caribe,24.588675234223384,2007-11-01,24.685702504269383,-0.09702727004599865,-0.18053219558516354
tmean,2007,12,Caribe,24.232525916002345,2007-12-01,25.062471426957135,-0.82994551095479,-0.25809107037119006
tmean,2008,1,Caribe,25.162672517384692,2008-01-01,25.69052473665928,-0.5278522192745889,-0.35187322673068494
tmean,2008,2,Caribe,25.702288610745697,2008-02-01,26.51460068072299,-0.8123120699772919,-0.47182406474744837
tmean,2008,3,Caribe,25.81442663313665,2008-03-01,26.52694804895896,-0.7125214158223088,-0.5374159832817904
tmean,2008,4,Caribe,25.532180443050912,2008-04-01,25.960166046773757,-0.42798560372284555,-0.521400416146958
tmean,2008,5,Caribe,24.843838202208467,2008-05-01,25.57229132916436,-0.7284531269558947,-0.5358209927009504
tmean,2008,6,Caribe,25.255209052586427,2008-06-01,25.729532158062987,-0.47432310547656087,-0.5653128160059581
tmean,2008,7,Caribe,25.039903591184842,2008-07-01,25.83176428399468,-0.7918606928098377,-0.6082401662710186
tmean,2008,8,Caribe,24.91565690144155,2008-08-01,25.78141099631766,-0.8657540948761095,-0.6039970980648516
tmean,2008,9,Caribe,25.11917513663926,2008-09-01,25.324772769158542,-0.20559763251928231,-0.5967690634898372
tmean,2008,10,Caribe,24.559259979831754,2008-10-01,24.86399261068323,-0.3047326308514755,-0.5648637811072487
tmean,2008,11,Caribe,24.10648213118035,2008-11-01,24.685702504269383,-0.5792203730890328,-0.6050465396941682
tmean,2008,12,Caribe,24.54183243445089,2008-12-01,25.062471426957135,-0.520638992506246,-0.5792709964901229
tmean,2009,1,Caribe,25.30961405280555,2009-01-01,25.69052473665928,-0.38091068385373106,-0.5670258685383848
tmean,2009,2,Caribe,25.955224721406125,2009-02-01,26.51460068072299,-0.5593759593168635,-0.5459478593166823
tmean,2009,3,Caribe,25.5781262710759,2009-03-01,26.52694804895896,-0.9488217778830617,-0.5656395561550784
tmean,2009,4,Caribe,26.118280423724844,2009-04-01,25.960166046773757,0.15811437695108665,-0.5167978910989174
tmean,2009,5,Caribe,25.267904910335147,2009-05-01,25.57229132916436,-0.304386418829214,-0.48145899875502735
tmean,2009,6,Caribe,25.378657888557093,2009-06-01,25.729532158062987,-0.3508742695058942,-0.4711715957574718
tmean,2009,7,Caribe,25.949199428198263,2009-07-01,25.83176428399468,0.11743514420358281,-0.3953969426730201
tmean,2009,8,Caribe,25.78835883069705,2009-08-01,25.78141099631766,0.006947834379388951,-0.32267178190172857
tmean,2009,9,Caribe,26.04980241927798,2009-09-01,25.324772769158542,0.7250296501194384,-0.24511950834850182
tmean,2009,10,Caribe,25.341756834830147,2009-10-01,24.86399261068323,0.47776422414691666,-0.1799114370986358
tmean,2009,11,Caribe,25.033263478853335,2009-11-01,24.685702504269383,0.34756097458395274,-0.10267965812588702
tmean,2009,12,Caribe,25.69625037443435,2009-12-01,25.062471426957135,0.6337789474772144,-0.006478163127265309
tmean,2010,1,Caribe,26.56101396394339,2010-01-01,25.69052473665928,0.8704892272841107,0.09780516280088818
tmean,2010,2,Caribe,27.419471073375544,2010-02-01,26.51460068072299,0.9048703926525548,0.21982569213167302
tmean,2010,3,Caribe,26.64353201767588,2010-03-01,26.52694804895896,0.11658396871692034,0.30860950434833817
tmean,2010,4,Caribe,26.21481891101728,2010-04-01,25.960166046773757,0.2546528642435213,0.3166543782893744
tmean,2010,5,Caribe,26.00115511700235,2010-05-01,25.57229132916436,0.4288637878379902,0.3777585621783081
tmean,2010,6,Caribe,25.37369215699913,2010-06-01,25.729532158062987,-0.35584000106385716,0.3773447512151445
tmean,2010,7,Caribe,24.980639115615517,2010-07-01,25.83176428399468,-0.8511251683791627,0.29663139183324905
tmean,2010,8,Caribe,25.02703493957487,2010-08-01,25.78141099631766,-0.7543760567427888,0.23318773423973424
tmean,2010,9,Caribe,24.669385255779844,2010-09-01,25.324772769158542,-0.6553875133786988,0.11815297061488945
tmean,2010,10,Caribe,24.599420693552712,2010-10-01,24.86399261068323,-0.2645719171305174,0.05629162550843662
tmean,2010,11,Caribe,23.734476449991053,2010-11-01,24.685702504269383,-0.9512260542783295,-0.05194062689675357
